goal,bmi,age,gym_home,exercise,reps,sets
loss,27.5,25,gym,Bench Press,12,4
loss,27.5,25,gym,Squats,10,4
loss,27.5,25,gym,Deadlift,8,3
gain,22.0,28,gym,Pull-ups,10,4
gain,22.0,28,gym,Dumbbell Press,12,3
loss,19.8,22,home,Pushups,15,3
loss,19.8,22,home,Lunges,20,3
loss,19.8,22,home,Plank,60,3
maintain,24.1,35,gym,Treadmill,30,1
maintain,24.1,35,gym,Bicep Curls,12,3
gain,29.3,30,gym,Leg Press,10,4
loss,26.8,27,home,Burpees,12,3
loss,31.2,40,home,Mountain Climbers,30,3
build,23.4,24,gym,Overhead Press,10,4
loss,18.9,20,home,Wall Sit,45,3

